EvaluationBodyId_anon,PersonId_anon,Country,Country_De,Country_Fr
55e24273-e4b9-48c2-8174-47f7222aff5e,ed7bde27-2e8b-4f45-8ede-f292d8ea2fda,Switzerland,Schweiz,Suisse
73aceb2d-6d05-4f7f-ad08-4bfe963b0913,cbe88d15-aa99-49ce-93fe-88c272a6c9bf,Switzerland,Schweiz,Suisse
57490148-f2a3-482b-9114-b70e18f03ea6,cbe88d15-aa99-49ce-93fe-88c272a6c9bf,Switzerland,Schweiz,Suisse
dd6ed58f-4b14-4fce-a5f5-00c380e7592a,cbe88d15-aa99-49ce-93fe-88c272a6c9bf,Switzerland,Schweiz,Suisse
55e24273-e4b9-48c2-8174-47f7222aff5e,99788018-db18-4c8f-945e-cc617d827bac,Switzerland,Schweiz,Suisse
053b6bf1-ddd2-4bfd-b508-559108b0bacb,99788018-db18-4c8f-945e-cc617d827bac,Switzerland,Schweiz,Suisse
579de528-4046-4d90-9c7c-752c1beb3110,cbe88d15-aa99-49ce-93fe-88c272a6c9bf,Switzerland,Schweiz,Suisse
b3c9191f-98a5-42a3-a003-7b9f1ab703e2,cbe88d15-aa99-49ce-93fe-88c272a6c9bf,Switzerland,Schweiz,Suisse
0c160031-5244-4e31-9fab-93cfba7e1814,cbe88d15-aa99-49ce-93fe-88c272a6c9bf,Switzerland,Schweiz,Suisse
3d2de244-4c82-4d3e-977d-20fecca9cbc6,3a3ed926-5ef0-43d3-a406-dd7912743c69,Norway,Norwegen,Norvège
9d848f05-9ff7-4af7-ad8a-513cabc31cc8,3fb38e5c-7b8c-481e-b621-82fa7c640c8b,USA,USA,États-Unis
1a9adb77-7ab4-48db-8b93-602bec03097a,b83e0556-ec1c-4557-8d48-494ffd5aff82,Italy,Italien,Italie
9d848f05-9ff7-4af7-ad8a-513cabc31cc8,b83e0556-ec1c-4557-8d48-494ffd5aff82,Italy,Italien,Italie
a47acc5d-d2eb-48a6-bd72-8e6c7a4de619,80bf1d71-0a23-4d36-9fed-3126585e5bda,Germany,Deutschland,Allemagne
3d2de244-4c82-4d3e-977d-20fecca9cbc6,0508f65f-9f0f-4bd2-905a-f5aea31fe64b,Germany,Deutschland,Allemagne
81f836ab-e81d-4b6d-9316-61a60fe065e4,c46e51b6-05bd-498b-8057-aa28ccf14f02,Switzerland,Schweiz,Suisse
c16bdefd-394d-4f08-b628-01cc427e8efd,0be310a9-fb61-4a30-8733-50955bc6ff76,Switzerland,Schweiz,Suisse
1a9adb77-7ab4-48db-8b93-602bec03097a,bdc2b5d4-479c-447a-ab33-391753370beb,UK,UK,UK
855f8d2c-a59a-4916-b0aa-cb78437217fa,bbdbc77d-e4bb-4d54-93fe-750e77f64768,Switzerland,Schweiz,Suisse
4e8281bc-cbb7-4e4d-bec0-15ba1520e72c,bbdbc77d-e4bb-4d54-93fe-750e77f64768,Switzerland,Schweiz,Suisse
